year,wins,losses,win_loss_pct,national_championship
2025-2026,0,0,0.0,no
2024-2025,9,14,39.130,no
2023-2024,17,9,65.385,no
2022-2023,18,8,69.231,no
2021-2022,21,7,75.0,no
2020-2021,13,8,61.905,no
2019-2020,5,4,55.556,no
2018-2019,13,12,52.0,no
2017-2018,19,9,67.857,no
2016-2017,29,3,90.625,yes
2015-2016,23,3,88.462,no
2014-2015,24,4,85.714,no
2013-2014,23,6,79.310,no
2012-2013,26,3,89.655,no
2011-2012,27,1,96.429,yes
2010-2011,31,1,96.875,yes
2009-2010,29,3,90.625,no
2008-2009,16,10,61.538,no
2007-2008,24,3,88.889,no
2006-2007,24,3,88.889,no
2005-2006,25,2,92.593,no
2004-2005,22,3,88.0,no
2003-2004,23,1,95.833,no
2002-2003,31,2,93.939,yes
2001-2002,24,2,92.308,no
2000-2001,24,3,88.889,no
1999-2000,25,3,89.286,no
1998-1999,31,2,93.939,no
1997-1998,27,0,100.0,yes
1996-1997,31,1,96.875,no
1995-1996,31,0,100.0,yes
1994-1995,27,3,90.0,no
1993-1994,23,6,79.31,no
1992-1993,26,2,92.857,no
1991-1992,30,0,100.0,yes
1990-1991,31,1,96.875,no
1989-1990,32,3,91.429,no
1988-1989,26,3,89.655,no
1987-1988,29,2,93.548,no
1986-1987,29,1,96.667,no
1985-1986,17,7,70.833,no
1984-1985,21,6,77.778,no
1983-1984,26,5,83.871,no
1982-1983,23,9,71.875,no
1981-1982,22,7,75.862,no
1980-1981,11,17,39.286,no
1979-1980,15,3,83.333,no
1978-1979,9,4,69.231,no
1977-1978,12,3,80.0,no
1976-1977,16,2,88.889,no
1975-1976,5,5,50.0,no
1974-1975,6,3,66.667,no
1973-1974,8,2,80.0,no
1972-1973,5,3,62.5,no
